loan_id,customer_id,loan_type,employment_type,region,loan_status,credit_score,loan_amount,outstanding_amount,collateral_value,ltv,missed_payments,dpd,previous_dpd,dpd_change,risk_score,risk_category,ews_alert_level
LN000017,CUST003172,Auto,Business Owner,South,Delinquent,694,398812,134634.32,843476,0.472819617867017,2,30,10,20,2,Low Risk,Warning
LN000018,CUST002920,Home,Business Owner,North,Active,727,2482244,927978.29,1763899,1.407248374198296,2,0,0,0,2,Low Risk,Critical
LN000019,CUST007832,Auto,Self-Employed,Central,Active,666,788527,103730.0,1753531,0.44967953232648866,0,0,0,0,1,Low Risk,Warning
LN000020,CUST000131,Home,Salaried,West,Active,520,2061674,983774.51,391821,5.261775147324927,1,0,0,0,4,Medium Risk,Critical
LN000021,CUST001686,Home,Self-Employed,West,Active,664,1459036,305987.0,832765,1.7520380899773647,1,0,0,0,3,Medium Risk,Critical
LN000022,CUST007477,Business,Self-Employed,Central,Active,629,1018895,237282.87,1377256,0.7398007342135376,2,0,0,0,1,Low Risk,Warning
LN000023,CUST000770,Home,Self-Employed,Central,Active,761,2311689,1413290.18,2243079,1.0305874202379854,1,0,0,0,1,Low Risk,Warning
LN000024,CUST002392,Auto,Salaried,West,Active,551,707426,318269.28,1533977,0.4611711909630979,2,15,0,15,3,Medium Risk,Critical
LN000025,CUST005612,Business,Salaried,West,Active,760,1600674,1237739.73,2147178,0.7454780181242543,1,15,90,-75,1,Low Risk,Watch
LN000026,CUST007582,Business,Self-Employed,East,Active,674,742802,75829.81,2021668,0.3674203677359487,0,0,0,0,0,Low Risk,Watch
LN000027,CUST006950,Home,Salaried,West,Active,798,2469717,2092161.85,852035,2.8986097988932378,1,0,0,0,2,Low Risk,Critical
LN000028,CUST002434,Education,Business Owner,East,Active,595,1790517,1038252.19,1493279,1.1990505458122696,0,0,0,0,2,Low Risk,Warning
LN000029,CUST005312,Education,Business Owner,Central,Active,539,1722218,1170717.7,346869,4.965038674542839,0,0,0,0,4,Medium Risk,Critical
LN000030,CUST005052,Business,Self-Employed,North,Active,708,2322015,909468.89,2177530,1.0663527023737904,1,0,90,-90,1,Low Risk,Warning
LN000031,CUST006421,Home,Business Owner,North,Active,641,1256574,174542.51,995530,1.2622161059937922,1,10,0,10,4,Medium Risk,Critical
LN000032,CUST001185,Education,Self-Employed,South,Active,757,1570651,514048.91,65309,24.049533754918922,2,0,10,-10,2,Low Risk,Critical
LN000033,CUST004556,Home,Self-Employed,East,Active,666,1153515,414866.75,2253752,0.5118198453068483,2,0,30,-30,1,Low Risk,Warning
LN000034,CUST003386,Home,Self-Employed,West,Active,690,1675657,723196.61,1236376,1.3552972558509708,0,0,0,0,2,Low Risk,Critical
LN000035,CUST004118,Business,Salaried,East,Default,818,994769,708269.67,2185429,0.45518248362220876,3,90,0,90,4,Medium Risk,Critical
LN000036,CUST006397,Business,Salaried,South,Active,618,2252710,1709639.65,2525723,0.8919069905923968,1,0,0,0,1,Low Risk,Warning
LN000037,CUST004844,Personal,Salaried,South,Active,645,266895,232931.13,796765,0.33497329827489913,2,15,10,5,2,Low Risk,Warning
LN000038,CUST002905,Education,Salaried,East,Active,849,254118,43956.98,2991687,0.08494137254331753,1,15,0,15,1,Low Risk,Warning
LN000039,CUST007729,Education,Self-Employed,West,Delinquent,834,1967376,1199185.08,1149516,1.711482049836627,0,30,0,30,4,Medium Risk,Critical
LN000040,CUST000475,Education,Salaried,Central,Active,628,64389,13104.39,1933263,0.033305866816879026,1,0,0,0,1,Low Risk,Warning
LN000041,CUST001083,Auto,Business Owner,Central,Active,644,2468090,1940579.1,155730,15.848519874141141,2,10,10,0,4,Medium Risk,Critical
LN000042,CUST002559,Home,Business Owner,Central,Active,553,2405277,951908.34,1384999,1.7366633477713702,2,0,0,0,4,Medium Risk,Critical
LN000043,CUST007850,Business,Salaried,South,Active,621,2295389,461929.02,2939760,0.7808082972759681,0,0,0,0,1,Low Risk,Warning
LN000044,CUST002048,Education,Business Owner,East,Default,623,266560,119847.92,2368665,0.11253596435122738,2,120,0,120,4,Medium Risk,Critical
LN000045,CUST007644,Personal,Business Owner,South,Delinquent,666,2040827,1212374.11,1635218,1.2480458263057281,0,60,0,60,4,Medium Risk,Warning
LN000046,CUST002748,Education,Salaried,West,Active,821,1391989,1162901.27,1261001,1.1038762062837382,0,0,0,0,1,Low Risk,Warning
LN000047,CUST000976,Home,Self-Employed,North,Active,642,2290185,1553642.56,2094840,1.0932505585152088,1,5,90,-85,3,Medium Risk,Warning
LN000048,CUST001807,Home,Self-Employed,South,Default,521,437809,305494.37,1634144,0.2679133540251043,1,90,30,60,5,Medium Risk,Critical
LN000049,CUST000190,Business,Self-Employed,West,Active,775,1718591,1112469.13,443966,3.870996878139317,0,0,90,-90,2,Low Risk,Critical
LN000050,CUST007102,Auto,Salaried,West,Delinquent,848,301465,107142.59,720426,0.4184538037216869,0,30,90,-60,2,Low Risk,Warning
LN000051,CUST002735,Business,Self-Employed,West,Active,798,538658,59659.77,1776765,0.3031678359265294,0,0,90,-90,0,Low Risk,No Alert
LN000052,CUST003006,Education,Self-Employed,North,Delinquent,776,442989,274602.25,139220,3.181935066800747,1,60,0,60,4,Medium Risk,Critical
LN000053,CUST004659,Personal,Business Owner,Central,Active,803,84627,38387.56,1816723,0.046582225248428075,1,0,10,-10,0,Low Risk,Watch
LN000054,CUST001900,Business,Self-Employed,East,Active,821,1681558,470558.78,2726162,0.6168224779011665,1,0,0,0,0,Low Risk,Watch
LN000055,CUST007735,Auto,Salaried,South,Active,614,1102495,1012067.76,2212600,0.4982803037150863,2,15,0,15,2,Low Risk,Warning
LN000056,CUST001268,Business,Self-Employed,North,Delinquent,771,2092482,905532.84,717972,2.9144339890692117,1,60,10,50,4,Medium Risk,Critical
LN000057,CUST006976,Home,Business Owner,West,Active,667,1360886,430676.74,1740499,0.7818941579397632,0,0,0,0,1,Low Risk,Warning
LN000058,CUST001529,Education,Business Owner,North,Active,776,1609992,171430.53,270953,5.941960413798703,0,15,60,-45,3,Medium Risk,Critical
LN000059,CUST003203,Education,Business Owner,South,Default,763,1261070,955784.45,2704630,0.4662634075640661,2,90,0,90,3,Medium Risk,Critical
LN000060,CUST003557,Education,Business Owner,East,Active,749,2077169,522279.67,2517153,0.8252056986603516,1,0,30,-30,0,Low Risk,Watch
LN000061,CUST003891,Education,Self-Employed,South,Active,754,1921177,850912.15,1973289,0.973591298588296,2,0,0,0,0,Low Risk,Watch
LN000062,CUST000647,Education,Business Owner,North,Active,841,416914,254623.8,1054509,0.3953631500537217,0,0,60,-60,0,Low Risk,No Alert
LN000063,CUST006165,Education,Business Owner,West,Delinquent,557,252780,39948.25,480250,0.5263508589276419,0,30,0,30,4,Medium Risk,Critical
LN000064,CUST002889,Personal,Business Owner,West,Active,504,816690,387405.27,2081005,0.3924498018986019,0,5,0,5,3,Medium Risk,Critical
LN000065,CUST006311,Auto,Self-Employed,Central,Default,610,2401054,331825.44,555420,4.32295200028807,0,90,0,90,6,High Risk,Critical
LN000066,CUST005394,Education,Salaried,Central,Active,785,1388970,623820.26,2294099,0.6054533827877524,0,0,0,0,0,Low Risk,No Alert
LN000067,CUST002436,Auto,Business Owner,East,Active,764,992005,220723.3,1184025,0.8378243702624523,1,0,0,0,0,Low Risk,Watch
LN000068,CUST000601,Education,Business Owner,East,Active,748,2333718,276378.73,805790,2.896186351282592,1,5,60,-55,3,Medium Risk,Critical
LN000069,CUST002364,Business,Business Owner,Central,Delinquent,594,1198640,325248.75,1587652,0.7549765313809323,0,60,30,30,3,Medium Risk,Warning
LN000070,CUST002062,Education,Self-Employed,Central,Active,796,555985,359224.41,1882341,0.29536890499649104,2,0,0,0,0,Low Risk,Watch
LN000071,CUST000242,Home,Self-Employed,South,Active,806,823993,652065.04,600744,1.3716208568042294,0,0,0,0,2,Low Risk,Critical
LN000072,CUST002042,Personal,Business Owner,South,Active,684,953821,565562.54,2245699,0.4247323439160814,0,0,30,-30,0,Low Risk,Watch
LN000073,CUST002825,Business,Salaried,West,Active,728,2211488,379376.97,2980574,0.741967151293677,0,0,0,0,0,Low Risk,Watch
LN000074,CUST007514,Business,Business Owner,West,Active,816,1367030,166546.23,526245,2.597706391509658,0,15,0,15,3,Medium Risk,Critical
LN000075,CUST002613,Home,Salaried,Central,Active,761,2029946,1874078.1,1246586,1.6284042978182012,0,0,10,-10,2,Low Risk,Critical
LN000076,CUST007042,Education,Salaried,South,Active,618,253867,222606.19,2064698,0.12295599647018596,1,0,0,0,1,Low Risk,Warning
LN000077,CUST001364,Personal,Self-Employed,Central,Active,733,427573,330891.76,1903397,0.2246367941107399,1,0,10,-10,0,Low Risk,Watch
LN000078,CUST006236,Business,Self-Employed,Central,Active,781,592906,326451.31,1673821,0.3542230620836995,3,0,0,0,1,Low Risk,Warning
LN000079,CUST005487,Personal,Self-Employed,East,Active,701,231837,90803.26,463331,0.5003701457489355,2,0,0,0,0,Low Risk,Watch
LN000080,CUST007100,Business,Salaried,Central,Delinquent,761,381216,310649.63,1256353,0.30343064409445436,2,30,60,-30,2,Low Risk,Warning
LN000081,CUST001479,Education,Salaried,West,Active,552,2064990,1558789.05,38168,54.1026514357577,0,5,30,-25,5,Medium Risk,Critical
LN000082,CUST007596,Business,Salaried,East,Active,816,66941,30286.48,890039,0.07521131096502513,0,10,90,-80,1,Low Risk,Watch
LN000083,CUST002557,Business,Self-Employed,South,Active,660,227670,101324.25,313811,0.7255003808024575,1,0,0,0,1,Low Risk,Warning
LN000084,CUST000776,Auto,Self-Employed,West,Active,743,2292217,1141115.16,242862,9.43835182119887,1,10,60,-50,3,Medium Risk,Critical
LN000085,CUST004015,Education,Self-Employed,North,Active,593,1913794,363222.27,2232602,0.8572033886917596,2,15,0,15,2,Low Risk,Warning
LN000086,CUST000035,Home,Business Owner,South,Active,539,2187350,1559382.77,1485537,1.472430508294307,1,15,90,-75,5,Medium Risk,Critical
LN000087,CUST006350,Home,Salaried,North,Delinquent,779,1022718,314342.71,2047725,0.49944108706003004,0,30,0,30,2,Low Risk,Warning
LN000088,CUST003153,Education,Salaried,West,Active,591,409418,383858.17,952914,0.42964842577609313,0,0,0,0,1,Low Risk,Warning
LN000089,CUST001956,Home,Business Owner,South,Active,800,2386087,934543.97,1314101,1.8157561709488084,1,0,0,0,2,Low Risk,Critical
LN000090,CUST001586,Education,Salaried,North,Active,537,788137,294751.33,1004408,0.7846781387643268,2,15,10,5,3,Medium Risk,Critical
LN000091,CUST003944,Home,Salaried,North,Default,742,2076445,1418841.94,960313,2.162258555283538,2,120,90,30,5,Medium Risk,Critical
LN000092,CUST007556,Auto,Business Owner,South,Active,635,1428066,1046261.8,552936,2.582696731628977,1,15,0,15,4,Medium Risk,Critical
LN000093,CUST003074,Home,Salaried,Central,Active,563,1282865,823745.87,2402453,0.5339813099361361,0,0,0,0,2,Low Risk,Critical
LN000094,CUST001022,Business,Self-Employed,West,Active,842,390029,206747.67,1651174,0.23621314289105813,0,0,0,0,0,Low Risk,No Alert
LN000095,CUST003462,Education,Business Owner,West,Active,700,603665,228925.59,2486596,0.24276762288687023,1,0,30,-30,0,Low Risk,Watch
LN000096,CUST002614,Personal,Salaried,East,Active,806,1152115,320815.35,835344,1.3792102415292382,1,5,30,-25,3,Medium Risk,Critical
LN000097,CUST005226,Personal,Self-Employed,South,Active,761,1737792,1061597.63,2486571,0.6988708546830152,1,0,90,-90,0,Low Risk,Watch
LN000098,CUST003844,Education,Salaried,West,Default,674,2160788,619607.5,830236,2.6026190143525456,1,90,0,90,5,Medium Risk,Critical
LN000099,CUST007990,Auto,Business Owner,North,Active,676,1179846,507263.48,249308,4.73248351436777,0,0,30,-30,2,Low Risk,Critical
LN000100,CUST001501,Home,Self-Employed,South,Active,584,661228,383703.9,2299237,0.2875858382585179,2,0,30,-30,1,Low Risk,Warning
LN000101,CUST004799,Auto,Salaried,North,Active,659,2351672,1417060.52,1549028,1.5181597750331175,3,15,0,15,5,Medium Risk,Critical
LN000102,CUST006546,Personal,Business Owner,South,Delinquent,681,1542096,1374983.18,1394020,1.1062222923630938,0,60,0,60,3,Medium Risk,Warning
LN000103,CUST006874,Education,Salaried,North,Active,535,665352,156342.44,1184079,0.5619152100493294,0,0,0,0,2,Low Risk,Critical
LN000104,CUST005676,Education,Salaried,North,Active,844,96728,48797.04,2138456,0.04523263513488236,1,0,0,0,0,Low Risk,Watch
LN000105,CUST000162,Auto,Self-Employed,South,Active,598,145695,121554.42,1625681,0.08962090348598525,0,0,60,-60,1,Low Risk,Warning
LN000106,CUST004298,Auto,Salaried,East,Active,725,473753,160151.49,1283664,0.3690630881601416,1,15,60,-45,1,Low Risk,Watch
LN000107,CUST001982,Home,Business Owner,North,Delinquent,536,2461748,1340351.7,1589890,1.5483763027630841,0,60,0,60,6,High Risk,Critical
LN000108,CUST000996,Business,Business Owner,South,Active,772,562741,347977.26,2517924,0.22349403715124047,3,15,0,15,2,Low Risk,Warning
LN000109,CUST006414,Business,Self-Employed,Central,Active,771,2278558,1551204.5,1098935,2.0734238148753112,0,0,0,0,2,Low Risk,Critical
LN000110,CUST004912,Home,Self-Employed,Central,Active,685,718546,461426.12,2156062,0.33326778172427324,1,5,0,5,1,Low Risk,Warning
LN000111,CUST003343,Business,Salaried,East,Active,548,2340322,1269518.29,2040151,1.1471317564239119,0,0,90,-90,3,Medium Risk,Critical
LN000112,CUST004552,Personal,Business Owner,South,Active,593,2193784,646150.92,821756,2.669629427713336,2,0,60,-60,3,Medium Risk,Critical
LN000113,CUST007630,Business,Self-Employed,East,Delinquent,806,1776756,1370277.09,1617710,1.0983155200870367,1,30,0,30,3,Medium Risk,Warning
LN000114,CUST003799,Home,Salaried,North,Default,725,1880127,1673904.67,123899,15.174674533289211,2,90,60,30,5,Medium Risk,Critical
LN000115,CUST001276,Business,Salaried,Central,Delinquent,504,2323722,1569063.08,2131800,1.0900281452293836,1,60,0,60,5,Medium Risk,Critical
LN000116,CUST001017,Education,Business Owner,East,Active,673,379410,145986.45,486832,0.7793448253196175,0,15,30,-15,1,Low Risk,Watch
LN000117,CUST007870,Auto,Business Owner,North,Active,682,2316247,2193952.33,2424983,0.9551600980295532,0,0,30,-30,0,Low Risk,Watch
LN000118,CUST006440,Personal,Salaried,Central,Active,572,1326503,388586.3,1165595,1.1380479497595648,1,0,0,0,3,Medium Risk,Critical
LN000119,CUST007893,Education,Business Owner,East,Active,644,1099487,1044053.26,1702509,0.6458039282024354,0,0,0,0,1,Low Risk,Warning
LN000120,CUST006864,Education,Salaried,North,Delinquent,651,406422,217002.81,2343403,0.17343239724452003,1,60,0,60,3,Medium Risk,Warning
LN000121,CUST007917,Home,Salaried,West,Active,555,474967,263451.54,1634078,0.2906636035733912,4,0,0,0,3,Medium Risk,Critical
LN000122,CUST000338,Auto,Business Owner,Central,Active,682,753243,448451.73,129223,5.829016506349489,0,0,0,0,2,Low Risk,Critical
LN000123,CUST000879,Auto,Self-Employed,North,Active,621,1519872,324516.31,276571,5.495413474297739,0,0,90,-90,3,Medium Risk,Critical
LN000124,CUST001077,Personal,Salaried,West,Active,743,2352287,1630689.08,2634219,0.8929732114148444,0,0,60,-60,0,Low Risk,Watch
LN000125,CUST004888,Home,Business Owner,East,Active,703,540098,267781.15,1128513,0.47859262587139006,2,0,0,0,0,Low Risk,Watch
LN000126,CUST003994,Personal,Salaried,West,Active,578,107339,39034.18,1399428,0.07670205255290019,0,15,30,-15,3,Medium Risk,Critical
LN000127,CUST006361,Business,Salaried,Central,Default,515,1309331,961723.61,748680,1.7488526473259605,5,90,10,80,9,High Risk,Critical
LN000128,CUST004860,Education,Salaried,South,Active,625,283708,201736.91,1470756,0.19289943403256557,1,10,0,10,2,Low Risk,Warning
LN000129,CUST006332,Personal,Business Owner,East,Active,586,2062988,280481.43,1315669,1.5680144474028042,4,0,10,-10,4,Medium Risk,Critical
LN000130,CUST000380,Education,Business Owner,West,Active,777,2356553,781821.74,1374399,1.714606166040575,2,0,60,-60,2,Low Risk,Critical
LN000131,CUST000493,Home,Business Owner,North,Active,542,1570596,474479.34,33812,46.45084585354312,2,5,0,5,5,Medium Risk,Critical
LN000132,CUST007209,Business,Self-Employed,South,Default,578,279774,109166.2,1440294,0.1942478410657824,0,120,0,120,5,Medium Risk,Critical
LN000133,CUST005277,Home,Salaried,South,Active,776,2224274,1019986.32,2072865,1.0730433482161164,2,10,0,10,2,Low Risk,Warning
LN000134,CUST002063,Business,Self-Employed,East,Active,763,2096906,1714862.29,631140,3.322410241784707,1,0,0,0,2,Low Risk,Critical
LN000135,CUST003885,Business,Salaried,West,Active,804,65993,46079.21,110978,0.594649389969183,2,0,0,0,0,Low Risk,Watch
LN000136,CUST000065,Education,Business Owner,Central,Active,727,372744,315614.73,1014882,0.36727816632869636,2,15,10,5,1,Low Risk,Warning
LN000137,CUST002569,Home,Salaried,West,Active,624,1153198,783373.84,2145250,0.5375587926815056,1,15,0,15,2,Low Risk,Warning
LN000138,CUST005464,Home,Salaried,West,Active,605,1542520,311424.54,438249,3.5197342150238793,0,0,10,-10,3,Medium Risk,Critical
LN000139,CUST005249,Personal,Salaried,East,Active,729,475885,228424.2,1347814,0.3530791340644926,2,5,0,5,1,Low Risk,Warning
LN000140,CUST002028,Home,Self-Employed,East,Delinquent,633,194322,126232.48,2084387,0.09322740930546966,0,30,0,30,3,Medium Risk,Warning
LN000141,CUST002696,Personal,Business Owner,North,Active,580,1158854,581437.33,1118028,1.0365160800981728,0,0,0,0,2,Low Risk,Warning
LN000142,CUST001496,Auto,Business Owner,Central,Active,608,867359,175162.25,2961710,0.292857504617265,0,15,0,15,2,Low Risk,Warning
LN000143,CUST007231,Auto,Salaried,East,Active,674,1632435,238687.92,2825323,0.577787035323041,1,0,0,0,0,Low Risk,Watch
LN000144,CUST005259,Auto,Business Owner,North,Active,663,1284715,513694.96,1501808,0.8554455696067673,0,10,0,10,2,Low Risk,Warning
LN000145,CUST005619,Home,Self-Employed,South,Active,624,310273,248308.03,580462,0.5345276693392504,1,5,30,-25,2,Low Risk,Warning
LN000146,CUST006737,Home,Self-Employed,North,Default,847,1568833,1187083.24,2509368,0.6251904862100736,2,90,0,90,3,Medium Risk,Critical
LN000147,CUST000392,Personal,Business Owner,Central,Active,522,1656939,1470587.0,2453794,0.6752559505810186,2,0,0,0,2,Low Risk,Critical
LN000148,CUST005795,Business,Self-Employed,North,Active,830,1108426,636870.05,1544838,0.7175030650463026,1,0,0,0,0,Low Risk,Watch
LN000149,CUST004515,Personal,Self-Employed,North,Active,561,2217220,1059545.07,846253,2.620043887584446,0,0,0,0,4,Medium Risk,Critical
LN000150,CUST006433,Auto,Business Owner,East,Active,711,1857014,1440308.02,509370,3.6457074425270433,0,15,0,15,3,Medium Risk,Critical
LN000151,CUST004475,Personal,Business Owner,Central,Active,751,672645,353780.04,2814849,0.2389630846983266,1,0,0,0,0,Low Risk,Watch
LN000152,CUST005893,Business,Salaried,North,Active,595,1246111,355959.48,1422619,0.8759274268092863,1,0,10,-10,1,Low Risk,Warning
LN000153,CUST003562,Home,Salaried,West,Delinquent,708,2212616,2100877.33,369480,5.988459456533507,0,60,0,60,4,Medium Risk,Critical
LN000154,CUST002279,Personal,Self-Employed,North,Active,556,868235,131985.37,1842666,0.4711841429754497,2,0,90,-90,2,Low Risk,Critical
LN000155,CUST007162,Auto,Business Owner,South,Active,733,2038073,1791551.1,1944555,1.0480922370413797,3,0,0,0,2,Low Risk,Warning
LN000156,CUST006185,Auto,Self-Employed,South,Active,825,1065556,276676.05,1923997,0.5538241483744517,1,0,0,0,0,Low Risk,Watch
LN000157,CUST003100,Home,Business Owner,North,Active,564,368719,315303.43,2385542,0.1545640361812955,3,10,0,10,4,Medium Risk,Critical
LN000158,CUST006279,Personal,Self-Employed,North,Active,792,754797,674863.43,2773841,0.2721125688170302,1,0,0,0,0,Low Risk,Watch
LN000159,CUST000201,Business,Self-Employed,West,Active,823,649592,495441.61,1470751,0.4416736755575893,0,0,0,0,0,Low Risk,No Alert
LN000160,CUST005960,Home,Self-Employed,North,Active,830,139883,126005.1,2562594,0.05458648541282778,0,0,30,-30,0,Low Risk,No Alert
LN000161,CUST004876,Personal,Salaried,East,Active,516,156270,107683.67,2006802,0.0778701635736859,0,0,0,0,2,Low Risk,Critical
LN000162,CUST007074,Education,Business Owner,Central,Active,634,715072,284069.29,2819467,0.2536195671025765,0,10,10,0,2,Low Risk,Warning
LN000163,CUST003105,Auto,Self-Employed,West,Delinquent,807,2101316,1847412.19,1214962,1.7295322816680687,0,30,60,-30,4,Medium Risk,Critical
LN000164,CUST007216,Business,Salaried,North,Active,629,1020120,135156.58,1309925,0.778762142870775,0,0,60,-60,1,Low Risk,Warning
LN000165,CUST004599,Business,Self-Employed,East,Active,536,963931,283409.98,2312779,0.4167847425110657,1,15,0,15,3,Medium Risk,Critical
LN000166,CUST002455,Business,Self-Employed,North,Active,749,1695000,1436435.76,2588225,0.6548889683083967,0,0,0,0,0,Low Risk,No Alert
LN000167,CUST003646,Auto,Business Owner,West,Active,556,2364717,1564049.59,905641,2.6110975541080848,1,0,0,0,4,Medium Risk,Critical
LN000168,CUST005848,Personal,Self-Employed,West,Active,509,313352,249211.91,2463824,0.12718116229081297,2,0,0,0,2,Low Risk,Critical
LN000169,CUST000805,Home,Business Owner,South,Active,580,1823267,916571.46,2915535,0.6253627550346678,1,0,30,-30,1,Low Risk,Warning
LN000170,CUST006243,Personal,Salaried,South,Delinquent,589,1915999,1482504.18,2445779,0.7833900773536775,1,30,0,30,3,Medium Risk,Warning
LN000171,CUST002732,Home,Salaried,North,Active,619,1068316,465941.61,416706,2.56371638517324,0,0,90,-90,3,Medium Risk,Critical
LN000172,CUST005992,Business,Self-Employed,Central,Active,601,79794,25134.35,542698,0.1470320509749437,0,0,0,0,1,Low Risk,Warning
LN000173,CUST002774,Personal,Salaried,East,Active,526,535809,391564.19,703858,0.7612458762989126,1,10,0,10,3,Medium Risk,Critical
LN000174,CUST001571,Business,Business Owner,South,Active,760,641491,179313.19,197768,3.2436541806561223,0,0,60,-60,2,Low Risk,Critical
LN000175,CUST005057,Education,Business Owner,South,Delinquent,560,523714,166527.0,756663,0.69213639361248,2,30,0,30,4,Medium Risk,Critical
LN000176,CUST007907,Business,Salaried,Central,Active,635,1079388,183018.49,1920817,0.561942131915742,2,0,30,-30,1,Low Risk,Warning
LN000177,CUST006757,Business,Business Owner,West,Active,596,1679755,1048187.49,2186966,0.7680754982016181,2,5,90,-85,2,Low Risk,Warning
LN000178,CUST005582,Home,Business Owner,North,Default,648,1683051,792006.19,2952590,0.5700252998215126,1,90,0,90,4,Medium Risk,Critical
LN000179,CUST002691,Education,Self-Employed,North,Delinquent,726,1734076,1350527.37,846015,2.0496988824075224,0,60,10,50,4,Medium Risk,Critical
LN000180,CUST003841,Business,Self-Employed,East,Active,776,1383643,140607.14,1684027,0.8216275629785034,0,5,0,5,1,Low Risk,Warning
LN000181,CUST001029,Business,Business Owner,Central,Active,806,1353959,242563.06,523517,2.586275135286915,0,0,60,-60,2,Low Risk,Critical
LN000182,CUST007386,Education,Salaried,Central,Active,834,302763,204491.52,26670,11.352193475815524,1,0,10,-10,2,Low Risk,Critical
LN000183,CUST000503,Education,Business Owner,Central,Active,727,256720,70062.59,994156,0.2582290908066742,1,0,0,0,0,Low Risk,Watch
LN000184,CUST006911,Personal,Self-Employed,West,Active,814,455890,222134.58,1886967,0.2415993496441644,2,0,0,0,0,Low Risk,Watch
LN000185,CUST004494,Home,Salaried,Central,Default,748,2219365,1026118.43,2793900,0.7943609291671141,1,90,0,90,3,Medium Risk,Critical
LN000186,CUST000871,Education,Business Owner,West,Active,757,135332,19763.88,1219487,0.11097453273384628,2,0,90,-90,0,Low Risk,Watch
LN000187,CUST006939,Education,Salaried,North,Active,813,631146,539123.67,2036815,0.3098690848211546,0,5,0,5,1,Low Risk,Warning
LN000188,CUST004489,Auto,Salaried,West,Delinquent,719,447525,277726.76,801438,0.5584025214676619,0,60,90,-30,2,Low Risk,Warning
LN000189,CUST000207,Education,Salaried,North,Active,735,2374523,648752.31,1974202,1.202776109030383,2,0,90,-90,1,Low Risk,Warning
LN000190,CUST005135,Home,Business Owner,East,Active,519,1366631,192551.53,2570778,0.5316021064440415,0,0,0,0,2,Low Risk,Critical
LN000191,CUST005978,Business,Self-Employed,Central,Active,844,2214909,281687.66,2073839,1.0680236026036736,1,0,0,0,1,Low Risk,Warning
LN000192,CUST007722,Business,Salaried,East,Active,637,1803360,1250861.18,2414163,0.746991814554361,1,0,0,0,1,Low Risk,Warning
LN000193,CUST007036,Business,Salaried,Central,Delinquent,688,2380170,2114714.9,1025932,2.3200075638541344,2,60,0,60,4,Medium Risk,Critical
LN000194,CUST001485,Business,Business Owner,East,Active,604,2463033,1842620.93,1125746,2.1879118380167464,1,10,0,10,4,Medium Risk,Critical
LN000195,CUST007859,Auto,Self-Employed,South,Default,597,1653482,774114.53,480885,3.438414589766784,1,120,0,120,6,High Risk,Critical
LN000196,CUST007743,Education,Self-Employed,South,Delinquent,769,2424837,2252522.01,420044,5.7728166573025685,2,30,10,20,4,Medium Risk,Critical
LN000197,CUST000864,Business,Business Owner,West,Delinquent,652,1620408,330771.5,163140,9.932622287605737,0,60,0,60,5,Medium Risk,Critical
