loan_id,customer_id,loan_type,age,gender,employment_type,annual_income,credit_score,loan_amount,outstanding_amount,interest_rate,loan_term,region,application_date,disbursement_date,last_payment_date,monthly_installment,total_payments,missed_payments,dpd,previous_dpd,collateral_value,loan_status
LN000017,CUST003172,Auto,26,Female,Business Owner,2270556,694,398812,134634.32,11.39,60,South,2022-01-05,2022-01-24,2022-04-28,6646.87,58,2,30,10,843476,Delinquent
LN000018,CUST002920,Home,27,Female,Business Owner,2503701,727,2482244,927978.29,7.53,72,North,2022-01-05,2022-01-12,2022-04-02,34475.61,70,2,0,0,1763899,Active
LN000019,CUST007832,Auto,47,Male,Self-Employed,714190,666,788527,103730.0,10.2,60,Central,2022-01-05,2022-01-07,2023-07-10,13142.12,60,0,0,0,1753531,Active
LN000020,CUST000131,Home,35,Male,Salaried,851890,520,2061674,983774.51,16.47,60,West,2022-01-05,2022-01-06,2023-08-08,34361.23,59,1,0,0,391821,Active
LN000021,CUST001686,Home,54,Male,Self-Employed,618632,664,1459036,305987.0,15.76,12,West,2022-01-06,2022-01-08,2022-11-22,121586.33,11,1,0,0,832765,Active
LN000022,CUST007477,Business,43,Female,Self-Employed,2119193,629,1018895,237282.87,14.07,36,Central,2022-01-06,2022-01-08,2023-10-02,28302.64,34,2,0,0,1377256,Active
LN000023,CUST000770,Home,44,Female,Self-Employed,835472,761,2311689,1413290.18,7.94,72,Central,2022-01-06,2022-01-23,2022-05-24,32106.79,71,1,0,0,2243079,Active
LN000024,CUST002392,Auto,35,Female,Salaried,765314,551,707426,318269.28,16.71,12,West,2022-01-06,2022-01-13,2022-06-10,58952.17,10,2,15,0,1533977,Active
LN000025,CUST005612,Business,55,Male,Salaried,2680271,760,1600674,1237739.73,12.88,72,West,2022-01-07,2022-02-04,2023-07-04,22231.58,71,1,15,90,2147178,Active
LN000026,CUST007582,Business,24,Female,Self-Employed,2302412,674,742802,75829.81,12.44,12,East,2022-01-07,2022-01-24,2023-11-05,61900.17,12,0,0,0,2021668,Active
LN000027,CUST006950,Home,64,Male,Salaried,1088927,798,2469717,2092161.85,17.27,48,West,2022-01-07,2022-01-22,2022-11-10,51452.44,47,1,0,0,852035,Active
LN000028,CUST002434,Education,57,Female,Business Owner,1770621,595,1790517,1038252.19,7.1,60,East,2022-01-07,2022-01-22,2022-04-10,29841.95,60,0,0,0,1493279,Active
LN000029,CUST005312,Education,37,Female,Business Owner,352355,539,1722218,1170717.7,13.11,12,Central,2022-01-08,2022-01-14,2022-07-29,143518.17,12,0,0,0,346869,Active
LN000030,CUST005052,Business,51,Female,Self-Employed,987899,708,2322015,909468.89,15.7,84,North,2022-01-08,2022-01-17,2022-06-26,27643.04,83,1,0,90,2177530,Active
LN000031,CUST006421,Home,58,Female,Business Owner,942132,641,1256574,174542.51,7.7,24,North,2022-01-08,2022-01-13,2023-11-25,52357.25,23,1,10,0,995530,Active
LN000032,CUST001185,Education,30,Male,Self-Employed,1385749,757,1570651,514048.91,10.93,36,South,2022-01-08,2022-02-05,2022-11-25,43629.19,34,2,0,10,65309,Active
LN000033,CUST004556,Home,47,Female,Self-Employed,1190587,666,1153515,414866.75,17.75,24,East,2022-01-09,2022-02-03,2022-09-24,48063.12,22,2,0,30,2253752,Active
LN000034,CUST003386,Home,62,Female,Self-Employed,2693128,690,1675657,723196.61,9.33,60,West,2022-01-09,2022-02-02,2023-10-08,27927.62,60,0,0,0,1236376,Active
LN000035,CUST004118,Business,26,Male,Salaried,2139733,818,994769,708269.67,12.84,48,East,2022-01-09,2022-01-27,2022-11-19,20724.35,45,3,90,0,2185429,Default
LN000036,CUST006397,Business,26,Male,Salaried,2703016,618,2252710,1709639.65,15.21,24,South,2022-01-09,2022-01-30,2023-02-12,93862.92,23,1,0,0,2525723,Active
LN000037,CUST004844,Personal,35,Male,Salaried,1020593,645,266895,232931.13,11.29,24,South,2022-01-10,2022-01-15,2022-07-25,11120.62,22,2,15,10,796765,Active
LN000038,CUST002905,Education,24,Female,Salaried,1743789,849,254118,43956.98,11.49,72,East,2022-01-10,2022-01-14,2023-01-26,3529.42,71,1,15,0,2991687,Active
LN000039,CUST007729,Education,60,Female,Self-Employed,1335874,834,1967376,1199185.08,7.7,84,West,2022-01-10,2022-01-26,2022-08-29,23421.14,84,0,30,0,1149516,Delinquent
LN000040,CUST000475,Education,27,Female,Salaried,1790947,628,64389,13104.39,9.09,12,Central,2022-01-10,2022-01-23,2023-07-14,5365.75,11,1,0,0,1933263,Active
LN000041,CUST001083,Auto,46,Female,Business Owner,1942033,644,2468090,1940579.1,16.69,24,Central,2022-01-11,2022-01-12,2023-05-16,102837.08,22,2,10,10,155730,Active
LN000042,CUST002559,Home,51,Male,Business Owner,1037155,553,2405277,951908.34,16.0,48,Central,2022-01-11,2022-01-19,2022-10-16,50109.94,46,2,0,0,1384999,Active
LN000043,CUST007850,Business,22,Male,Salaried,2768969,621,2295389,461929.02,10.35,24,South,2022-01-11,2022-02-01,2022-07-29,95641.21,24,0,0,0,2939760,Active
LN000044,CUST002048,Education,48,Male,Business Owner,1166243,623,266560,119847.92,11.2,24,East,2022-01-11,2022-01-25,2022-11-16,11106.67,22,2,120,0,2368665,Default
LN000045,CUST007644,Personal,62,Male,Business Owner,1462296,666,2040827,1212374.11,11.84,60,South,2022-01-12,2022-01-25,2022-03-20,34013.78,60,0,60,0,1635218,Delinquent
LN000046,CUST002748,Education,33,Male,Salaried,867056,821,1391989,1162901.27,10.81,72,West,2022-01-12,2022-01-17,2023-04-16,19333.18,72,0,0,0,1261001,Active
LN000047,CUST000976,Home,38,Female,Self-Employed,675751,642,2290185,1553642.56,14.19,48,North,2022-01-12,2022-01-30,2023-08-19,47712.19,47,1,5,90,2094840,Active
LN000048,CUST001807,Home,50,Female,Self-Employed,457416,521,437809,305494.37,7.14,24,South,2022-01-12,2022-01-26,2023-02-03,18242.04,23,1,90,30,1634144,Default
LN000049,CUST000190,Business,31,Female,Self-Employed,1597978,775,1718591,1112469.13,16.68,60,West,2022-01-13,2022-02-04,2022-10-06,28643.18,60,0,0,90,443966,Active
LN000050,CUST007102,Auto,33,Male,Salaried,2883511,848,301465,107142.59,10.31,36,West,2022-01-13,2022-02-10,2023-10-07,8374.03,36,0,30,90,720426,Delinquent
LN000051,CUST002735,Business,44,Male,Self-Employed,2654264,798,538658,59659.77,16.6,24,West,2022-01-13,2022-01-22,2023-05-18,22444.08,24,0,0,90,1776765,Active
LN000052,CUST003006,Education,49,Female,Self-Employed,2385403,776,442989,274602.25,12.0,24,North,2022-01-13,2022-02-11,2022-08-22,18457.88,23,1,60,0,139220,Delinquent
LN000053,CUST004659,Personal,25,Female,Business Owner,1013556,803,84627,38387.56,15.54,60,Central,2022-01-14,2022-02-10,2023-10-29,1410.45,59,1,0,10,1816723,Active
LN000054,CUST001900,Business,55,Female,Self-Employed,2582699,821,1681558,470558.78,16.08,72,East,2022-01-14,2022-01-31,2023-05-26,23354.97,71,1,0,0,2726162,Active
LN000055,CUST007735,Auto,39,Female,Salaried,1250998,614,1102495,1012067.76,10.31,60,South,2022-01-14,2022-01-28,2022-03-18,18374.92,58,2,15,0,2212600,Active
LN000056,CUST001268,Business,33,Female,Self-Employed,2403046,771,2092482,905532.84,14.04,84,North,2022-01-14,2022-02-01,2023-11-22,24910.5,83,1,60,10,717972,Delinquent
LN000057,CUST006976,Home,25,Female,Business Owner,2965967,667,1360886,430676.74,13.68,60,West,2022-01-15,2022-01-29,2023-05-03,22681.43,60,0,0,0,1740499,Active
LN000058,CUST001529,Education,64,Male,Business Owner,1472306,776,1609992,171430.53,12.24,24,North,2022-01-15,2022-01-29,2022-09-21,67083.0,24,0,15,60,270953,Active
LN000059,CUST003203,Education,34,Female,Business Owner,2999621,763,1261070,955784.45,12.17,12,South,2022-01-15,2022-01-30,2023-09-18,105089.17,10,2,90,0,2704630,Default
LN000060,CUST003557,Education,58,Male,Business Owner,719941,749,2077169,522279.67,10.36,12,East,2022-01-15,2022-02-04,2023-01-18,173097.42,11,1,0,30,2517153,Active
LN000061,CUST003891,Education,42,Female,Self-Employed,1919417,754,1921177,850912.15,10.41,60,South,2022-01-16,2022-02-08,2023-03-26,32019.62,58,2,0,0,1973289,Active
LN000062,CUST000647,Education,29,Male,Business Owner,2339630,841,416914,254623.8,13.03,12,North,2022-01-16,2022-01-18,2022-10-21,34742.83,12,0,0,60,1054509,Active
LN000063,CUST006165,Education,60,Male,Business Owner,1845160,557,252780,39948.25,7.35,36,West,2022-01-16,2022-01-26,2022-07-20,7021.67,36,0,30,0,480250,Delinquent
LN000064,CUST002889,Personal,46,Male,Business Owner,636135,504,816690,387405.27,17.27,12,West,2022-01-16,2022-02-01,2023-08-29,68057.5,12,0,5,0,2081005,Active
LN000065,CUST006311,Auto,25,Female,Self-Employed,220954,610,2401054,331825.44,14.15,12,Central,2022-01-17,2022-01-31,2022-05-02,200087.83,12,0,90,0,555420,Default
LN000066,CUST005394,Education,49,Female,Salaried,1281917,785,1388970,623820.26,11.88,24,Central,2022-01-17,2022-02-02,2022-12-12,57873.75,24,0,0,0,2294099,Active
LN000067,CUST002436,Auto,42,Female,Business Owner,751707,764,992005,220723.3,7.68,72,East,2022-01-17,2022-02-06,2023-12-14,13777.85,71,1,0,0,1184025,Active
LN000068,CUST000601,Education,23,Female,Business Owner,1992591,748,2333718,276378.73,13.93,12,East,2022-01-17,2022-01-25,2022-06-03,194476.5,11,1,5,60,805790,Active
LN000069,CUST002364,Business,48,Male,Business Owner,1381870,594,1198640,325248.75,7.2,60,Central,2022-01-18,2022-01-26,2022-08-14,19977.33,60,0,60,30,1587652,Delinquent
LN000070,CUST002062,Education,58,Female,Self-Employed,1474547,796,555985,359224.41,14.48,84,Central,2022-01-18,2022-02-10,2023-03-08,6618.87,82,2,0,0,1882341,Active
LN000071,CUST000242,Home,34,Female,Self-Employed,709198,806,823993,652065.04,7.8,24,South,2022-01-18,2022-02-04,2023-04-14,34333.04,24,0,0,0,600744,Active
LN000072,CUST002042,Personal,34,Female,Business Owner,293901,684,953821,565562.54,14.22,84,South,2022-01-18,2022-02-05,2022-11-07,11355.01,84,0,0,30,2245699,Active
LN000073,CUST002825,Business,63,Male,Salaried,1889785,728,2211488,379376.97,11.46,12,West,2022-01-19,2022-02-17,2023-01-09,184290.67,12,0,0,0,2980574,Active
LN000074,CUST007514,Business,31,Male,Business Owner,1849757,816,1367030,166546.23,14.29,84,West,2022-01-19,2022-02-14,2022-12-30,16274.17,84,0,15,0,526245,Active
LN000075,CUST002613,Home,29,Female,Salaried,2481026,761,2029946,1874078.1,8.52,36,Central,2022-01-19,2022-01-20,2023-01-08,56387.39,36,0,0,10,1246586,Active
LN000076,CUST007042,Education,58,Female,Salaried,2867009,618,253867,222606.19,8.29,24,South,2022-01-19,2022-02-07,2022-03-16,10577.79,23,1,0,0,2064698,Active
LN000077,CUST001364,Personal,64,Female,Self-Employed,1366513,733,427573,330891.76,9.72,72,Central,2022-01-20,2022-01-23,2023-06-24,5938.51,71,1,0,10,1903397,Active
LN000078,CUST006236,Business,26,Female,Self-Employed,227277,781,592906,326451.31,11.53,24,Central,2022-01-20,2022-01-27,2023-10-12,24704.42,21,3,0,0,1673821,Active
LN000079,CUST005487,Personal,21,Male,Self-Employed,1615095,701,231837,90803.26,9.78,24,East,2022-01-20,2022-02-01,2023-10-18,9659.88,22,2,0,0,463331,Active
LN000080,CUST007100,Business,45,Female,Salaried,1596676,761,381216,310649.63,7.9,12,Central,2022-01-20,2022-02-09,2023-06-28,31768.0,10,2,30,60,1256353,Delinquent
LN000081,CUST001479,Education,36,Female,Salaried,212167,552,2064990,1558789.05,10.58,72,West,2022-01-21,2022-01-31,2023-10-19,28680.42,72,0,5,30,38168,Active
LN000082,CUST007596,Business,35,Male,Salaried,1728924,816,66941,30286.48,14.76,60,East,2022-01-21,2022-02-01,2023-02-11,1115.68,60,0,10,90,890039,Active
LN000083,CUST002557,Business,54,Female,Self-Employed,427371,660,227670,101324.25,13.41,48,South,2022-01-21,2022-02-06,2023-03-10,4743.12,47,1,0,0,313811,Active
LN000084,CUST000776,Auto,37,Female,Self-Employed,2997018,743,2292217,1141115.16,17.6,72,West,2022-01-21,2022-01-28,2023-05-12,31836.35,71,1,10,60,242862,Active
LN000085,CUST004015,Education,23,Female,Self-Employed,2583847,593,1913794,363222.27,11.8,48,North,2022-01-22,2022-02-19,2022-05-01,39870.71,46,2,15,0,2232602,Active
LN000086,CUST000035,Home,23,Male,Business Owner,2255552,539,2187350,1559382.77,10.66,48,South,2022-01-22,2022-02-06,2022-06-18,45569.79,47,1,15,90,1485537,Active
LN000087,CUST006350,Home,57,Male,Salaried,2391340,779,1022718,314342.71,14.63,12,North,2022-01-22,2022-02-10,2023-09-09,85226.5,12,0,30,0,2047725,Delinquent
LN000088,CUST003153,Education,37,Female,Salaried,1481458,591,409418,383858.17,11.53,36,West,2022-01-22,2022-02-08,2022-12-06,11372.72,36,0,0,0,952914,Active
LN000089,CUST001956,Home,58,Female,Business Owner,2235249,800,2386087,934543.97,13.8,24,South,2022-01-23,2022-01-29,2022-05-19,99420.29,23,1,0,0,1314101,Active
LN000090,CUST001586,Education,21,Male,Salaried,468496,537,788137,294751.33,17.41,24,North,2022-01-23,2022-02-07,2023-06-06,32839.04,22,2,15,10,1004408,Active
LN000091,CUST003944,Home,27,Male,Salaried,1873339,742,2076445,1418841.94,12.49,84,North,2022-01-23,2022-02-16,2023-02-03,24719.58,82,2,120,90,960313,Default
LN000092,CUST007556,Auto,46,Male,Business Owner,656533,635,1428066,1046261.8,12.48,72,South,2022-01-23,2022-01-31,2023-08-31,19834.25,71,1,15,0,552936,Active
LN000093,CUST003074,Home,59,Female,Salaried,1519314,563,1282865,823745.87,15.53,60,Central,2022-01-24,2022-02-14,2022-11-10,21381.08,60,0,0,0,2402453,Active
LN000094,CUST001022,Business,39,Male,Self-Employed,732763,842,390029,206747.67,15.32,84,West,2022-01-24,2022-02-12,2022-04-19,4643.2,84,0,0,0,1651174,Active
LN000095,CUST003462,Education,50,Male,Business Owner,976854,700,603665,228925.59,12.68,72,West,2022-01-24,2022-02-13,2023-10-26,8384.24,71,1,0,30,2486596,Active
LN000096,CUST002614,Personal,63,Male,Salaried,2426751,806,1152115,320815.35,7.71,24,East,2022-01-24,2022-02-12,2023-01-11,48004.79,23,1,5,30,835344,Active
LN000097,CUST005226,Personal,34,Female,Self-Employed,1074467,761,1737792,1061597.63,17.79,60,South,2022-01-25,2022-02-14,2022-04-22,28963.2,59,1,0,90,2486571,Active
LN000098,CUST003844,Education,33,Male,Salaried,2272816,674,2160788,619607.5,11.15,72,West,2022-01-25,2022-02-10,2022-11-29,30010.94,71,1,90,0,830236,Default
LN000099,CUST007990,Auto,40,Female,Business Owner,820271,676,1179846,507263.48,10.48,12,North,2022-01-25,2022-02-02,2022-06-21,98320.5,12,0,0,30,249308,Active
LN000100,CUST001501,Home,46,Female,Self-Employed,658426,584,661228,383703.9,17.8,48,South,2022-01-25,2022-02-18,2022-07-20,13775.58,46,2,0,30,2299237,Active
LN000101,CUST004799,Auto,47,Female,Salaried,275923,659,2351672,1417060.52,16.59,72,North,2022-01-26,2022-02-01,2023-08-06,32662.11,69,3,15,0,1549028,Active
LN000102,CUST006546,Personal,45,Female,Business Owner,1486844,681,1542096,1374983.18,10.63,84,South,2022-01-26,2022-02-23,2023-11-05,18358.29,84,0,60,0,1394020,Delinquent
LN000103,CUST006874,Education,29,Male,Salaried,464814,535,665352,156342.44,10.39,60,North,2022-01-26,2022-02-04,2022-12-04,11089.2,60,0,0,0,1184079,Active
LN000104,CUST005676,Education,61,Female,Salaried,1569983,844,96728,48797.04,14.93,60,North,2022-01-26,2022-02-17,2022-09-24,1612.13,59,1,0,0,2138456,Active
LN000105,CUST000162,Auto,32,Female,Self-Employed,1187400,598,145695,121554.42,10.68,24,South,2022-01-27,2022-02-11,2023-05-25,6070.62,24,0,0,60,1625681,Active
LN000106,CUST004298,Auto,30,Female,Salaried,1283892,725,473753,160151.49,9.77,12,East,2022-01-27,2022-02-20,2022-08-24,39479.42,11,1,15,60,1283664,Active
LN000107,CUST001982,Home,26,Male,Business Owner,2840150,536,2461748,1340351.7,17.78,48,North,2022-01-27,2022-02-24,2023-11-04,51286.42,48,0,60,0,1589890,Delinquent
LN000108,CUST000996,Business,54,Male,Business Owner,1497132,772,562741,347977.26,13.22,12,South,2022-01-27,2022-01-31,2022-08-12,46895.08,9,3,15,0,2517924,Active
LN000109,CUST006414,Business,61,Male,Self-Employed,1943750,771,2278558,1551204.5,15.39,48,Central,2022-01-28,2022-02-22,2022-04-05,47469.96,48,0,0,0,1098935,Active
LN000110,CUST004912,Home,39,Male,Self-Employed,2302331,685,718546,461426.12,14.84,36,Central,2022-01-28,2022-02-10,2022-07-23,19959.61,35,1,5,0,2156062,Active
LN000111,CUST003343,Business,26,Female,Salaried,1723004,548,2340322,1269518.29,15.31,12,East,2022-01-28,2022-02-11,2023-07-30,195026.83,12,0,0,90,2040151,Active
LN000112,CUST004552,Personal,22,Female,Business Owner,1273639,593,2193784,646150.92,16.94,36,South,2022-01-28,2022-02-22,2022-05-15,60938.44,34,2,0,60,821756,Active
LN000113,CUST007630,Business,35,Female,Self-Employed,1691408,806,1776756,1370277.09,12.51,48,East,2022-01-29,2022-02-09,2023-11-01,37015.75,47,1,30,0,1617710,Delinquent
LN000114,CUST003799,Home,37,Male,Salaried,1957411,725,1880127,1673904.67,15.29,60,North,2022-01-29,2022-02-08,2022-04-07,31335.45,58,2,90,60,123899,Default
LN000115,CUST001276,Business,36,Male,Salaried,2175761,504,2323722,1569063.08,15.76,36,Central,2022-01-29,2022-02-04,2023-06-26,64547.83,35,1,60,0,2131800,Delinquent
LN000116,CUST001017,Education,48,Male,Business Owner,2631797,673,379410,145986.45,17.41,84,East,2022-01-29,2022-02-03,2023-12-24,4516.79,84,0,15,30,486832,Active
LN000117,CUST007870,Auto,41,Female,Business Owner,1282142,682,2316247,2193952.33,14.84,84,North,2022-01-30,2022-02-08,2023-03-01,27574.37,84,0,0,30,2424983,Active
LN000118,CUST006440,Personal,28,Female,Salaried,1890352,572,1326503,388586.3,16.82,48,Central,2022-01-30,2022-02-26,2023-05-01,27635.48,47,1,0,0,1165595,Active
LN000119,CUST007893,Education,30,Female,Business Owner,1669666,644,1099487,1044053.26,8.05,48,East,2022-01-30,2022-02-17,2024-01-13,22905.98,48,0,0,0,1702509,Active
LN000120,CUST006864,Education,30,Male,Salaried,1694184,651,406422,217002.81,8.39,84,North,2022-01-30,2022-02-27,2022-09-27,4838.36,83,1,60,0,2343403,Delinquent
LN000121,CUST007917,Home,30,Male,Salaried,2726491,555,474967,263451.54,8.74,36,West,2022-01-31,2022-03-01,2023-07-14,13193.53,32,4,0,0,1634078,Active
LN000122,CUST000338,Auto,29,Female,Business Owner,2120857,682,753243,448451.73,8.59,72,Central,2022-01-31,2022-02-05,2022-07-19,10461.71,72,0,0,0,129223,Active
LN000123,CUST000879,Auto,48,Male,Self-Employed,1424965,621,1519872,324516.31,7.96,12,North,2022-01-31,2022-02-08,2022-10-13,126656.0,12,0,0,90,276571,Active
LN000124,CUST001077,Personal,44,Female,Salaried,1446043,743,2352287,1630689.08,8.35,72,West,2022-01-31,2022-02-20,2023-03-22,32670.65,72,0,0,60,2634219,Active
LN000125,CUST004888,Home,39,Female,Business Owner,1273515,703,540098,267781.15,17.96,60,East,2022-02-01,2022-02-27,2023-01-12,9001.63,58,2,0,0,1128513,Active
LN000126,CUST003994,Personal,53,Male,Salaried,633672,578,107339,39034.18,9.99,48,West,2022-02-01,2022-03-01,2022-08-31,2236.23,48,0,15,30,1399428,Active
LN000127,CUST006361,Business,24,Female,Salaried,342095,515,1309331,961723.61,12.26,12,Central,2022-02-01,2022-02-19,2024-01-13,109110.92,7,5,90,10,748680,Default
LN000128,CUST004860,Education,23,Female,Salaried,1064838,625,283708,201736.91,16.04,48,South,2022-02-01,2022-02-22,2023-03-10,5910.58,47,1,10,0,1470756,Active
LN000129,CUST006332,Personal,62,Female,Business Owner,1089758,586,2062988,280481.43,8.3,48,East,2022-02-02,2022-02-08,2022-04-18,42978.92,44,4,0,10,1315669,Active
LN000130,CUST000380,Education,32,Female,Business Owner,830176,777,2356553,781821.74,10.49,84,West,2022-02-02,2022-02-20,2022-04-03,28054.2,82,2,0,60,1374399,Active
LN000131,CUST000493,Home,38,Female,Business Owner,1309492,542,1570596,474479.34,8.75,48,North,2022-02-02,2022-02-03,2023-01-21,32720.75,46,2,5,0,33812,Active
LN000132,CUST007209,Business,43,Male,Self-Employed,2819526,578,279774,109166.2,7.69,12,South,2022-02-02,2022-02-16,2023-08-25,23314.5,12,0,120,0,1440294,Default
LN000133,CUST005277,Home,40,Female,Salaried,435778,776,2224274,1019986.32,17.57,24,South,2022-02-03,2022-02-08,2023-08-10,92678.08,22,2,10,0,2072865,Active
LN000134,CUST002063,Business,26,Male,Self-Employed,1732819,763,2096906,1714862.29,16.44,60,East,2022-02-03,2022-02-21,2023-10-12,34948.43,59,1,0,0,631140,Active
LN000135,CUST003885,Business,54,Female,Salaried,1000706,804,65993,46079.21,16.67,60,West,2022-02-03,2022-02-27,2023-02-11,1099.88,58,2,0,0,110978,Active
LN000136,CUST000065,Education,62,Male,Business Owner,2511918,727,372744,315614.73,16.56,24,Central,2022-02-03,2022-03-02,2023-10-16,15531.0,22,2,15,10,1014882,Active
LN000137,CUST002569,Home,22,Male,Salaried,2644581,624,1153198,783373.84,8.7,48,West,2022-02-04,2022-02-14,2022-05-08,24024.96,47,1,15,0,2145250,Active
LN000138,CUST005464,Home,50,Male,Salaried,1797262,605,1542520,311424.54,15.63,24,West,2022-02-04,2022-02-06,2022-07-07,64271.67,24,0,0,10,438249,Active
LN000139,CUST005249,Personal,29,Female,Salaried,1854370,729,475885,228424.2,15.01,72,East,2022-02-04,2022-02-11,2022-12-04,6609.51,70,2,5,0,1347814,Active
LN000140,CUST002028,Home,47,Male,Self-Employed,1540855,633,194322,126232.48,17.18,36,East,2022-02-04,2022-02-26,2022-11-15,5397.83,36,0,30,0,2084387,Delinquent
LN000141,CUST002696,Personal,62,Female,Business Owner,2009665,580,1158854,581437.33,9.41,36,North,2022-02-05,2022-02-11,2022-06-21,32190.39,36,0,0,0,1118028,Active
LN000142,CUST001496,Auto,54,Female,Business Owner,997844,608,867359,175162.25,11.55,12,Central,2022-02-05,2022-02-26,2023-08-16,72279.92,12,0,15,0,2961710,Active
LN000143,CUST007231,Auto,60,Male,Salaried,694541,674,1632435,238687.92,10.24,12,East,2022-02-05,2022-03-03,2023-06-22,136036.25,11,1,0,0,2825323,Active
LN000144,CUST005259,Auto,44,Male,Business Owner,2270778,663,1284715,513694.96,9.84,36,North,2022-02-05,2022-03-05,2023-04-16,35686.53,36,0,10,0,1501808,Active
LN000145,CUST005619,Home,37,Female,Self-Employed,2743337,624,310273,248308.03,14.18,72,South,2022-02-06,2022-02-17,2023-01-12,4309.35,71,1,5,30,580462,Active
LN000146,CUST006737,Home,49,Female,Self-Employed,344266,847,1568833,1187083.24,8.8,72,North,2022-02-06,2022-02-10,2023-07-31,21789.35,70,2,90,0,2509368,Default
LN000147,CUST000392,Personal,56,Female,Business Owner,1361859,522,1656939,1470587.0,12.11,24,Central,2022-02-06,2022-02-20,2023-04-16,69039.12,22,2,0,0,2453794,Active
LN000148,CUST005795,Business,32,Male,Self-Employed,291182,830,1108426,636870.05,14.11,84,North,2022-02-06,2022-02-18,2022-08-31,13195.55,83,1,0,0,1544838,Active
LN000149,CUST004515,Personal,51,Female,Self-Employed,1867165,561,2217220,1059545.07,8.43,72,North,2022-02-07,2022-02-11,2022-10-29,30794.72,72,0,0,0,846253,Active
LN000150,CUST006433,Auto,29,Female,Business Owner,696147,711,1857014,1440308.02,9.83,12,East,2022-02-07,2022-03-08,2023-03-01,154751.17,12,0,15,0,509370,Active
LN000151,CUST004475,Personal,39,Female,Business Owner,1284083,751,672645,353780.04,17.64,84,Central,2022-02-07,2022-02-24,2023-07-12,8007.68,83,1,0,0,2814849,Active
LN000152,CUST005893,Business,37,Female,Salaried,2091599,595,1246111,355959.48,15.75,24,North,2022-02-07,2022-02-26,2023-02-10,51921.29,23,1,0,10,1422619,Active
LN000153,CUST003562,Home,22,Female,Salaried,1073900,708,2212616,2100877.33,14.45,12,West,2022-02-08,2022-02-25,2022-07-13,184384.67,12,0,60,0,369480,Delinquent
LN000154,CUST002279,Personal,60,Female,Self-Employed,2729927,556,868235,131985.37,16.42,60,North,2022-02-08,2022-02-25,2022-11-15,14470.58,58,2,0,90,1842666,Active
